date,SPY_w,TLT_w,GLD_w,regime
2006-03-01,0.3043917825597146,0.00504068206623122,0.6905675353740542,0
2006-03-02,0.3043917825597146,0.00504068206623122,0.6905675353740542,0
2006-03-03,0.18552880692437085,1.7638725713602052e-08,0.8144711754369034,0
2006-03-06,0.18552880692437085,1.7638725713602052e-08,0.8144711754369034,0
2006-03-07,0.18552880692437085,1.7638725713602052e-08,0.8144711754369034,0
2006-03-08,0.18552880692437085,1.7638725713602052e-08,0.8144711754369034,0
2006-03-09,0.18552880692437085,1.7638725713602052e-08,0.8144711754369034,0
2006-03-10,0.17444643104066399,7.965006460721616e-08,0.8255534893092715,0
2006-03-13,0.17444643104066399,7.965006460721616e-08,0.8255534893092715,0
2006-03-14,0.17444643104066399,7.965006460721616e-08,0.8255534893092715,0
2006-03-15,0.17444643104066399,7.965006460721616e-08,0.8255534893092715,0
2006-03-16,0.17444643104066399,7.965006460721616e-08,0.8255534893092715,0
2006-03-17,0.42826168906799145,0.007168336379462962,0.5645699745525455,0
2006-03-20,0.42826168906799145,0.007168336379462962,0.5645699745525455,0
2006-03-21,0.42826168906799145,0.007168336379462962,0.5645699745525455,0
2006-03-22,0.42826168906799145,0.007168336379462962,0.5645699745525455,0
2006-03-23,0.42826168906799145,0.007168336379462962,0.5645699745525455,0
2006-03-24,0.4153546280330365,0.015337422145528044,0.5693079498214354,0
2006-03-27,0.4153546280330365,0.015337422145528044,0.5693079498214354,0
2006-03-28,0.4153546280330365,0.015337422145528044,0.5693079498214354,0
2006-03-29,0.4153546280330365,0.015337422145528044,0.5693079498214354,0
2006-03-30,0.4153546280330365,0.015337422145528044,0.5693079498214354,0
2006-03-31,0.31556406571189377,6.154852822742682e-08,0.684435872739578,0
2006-04-03,0.31556406571189377,6.154852822742682e-08,0.684435872739578,0
2006-04-04,0.31556406571189377,6.154852822742682e-08,0.684435872739578,0
2006-04-05,0.31556406571189377,6.154852822742682e-08,0.684435872739578,0
2006-04-06,0.31556406571189377,6.154852822742682e-08,0.684435872739578,0
2006-04-07,0.28885438171788913,4.0951293027015465e-08,0.7111455773308177,0
2006-04-10,0.28885438171788913,4.0951293027015465e-08,0.7111455773308177,0
2006-04-11,0.28885438171788913,4.0951293027015465e-08,0.7111455773308177,0
2006-04-12,0.28885438171788913,4.0951293027015465e-08,0.7111455773308177,0
2006-04-13,0.28885438171788913,4.0951293027015465e-08,0.7111455773308177,0
2006-04-17,0.3397142739673474,1.3160415912112851e-08,0.6602857128722368,0
2006-04-18,0.3397142739673474,1.3160415912112851e-08,0.6602857128722368,0
2006-04-19,0.3397142739673474,1.3160415912112851e-08,0.6602857128722368,0
2006-04-20,0.3397142739673474,1.3160415912112851e-08,0.6602857128722368,0
